,longitude,latitude,mineral_type,mineral_grade,institution,city,province,object_name,hypotherical_resource,inferred_resource,indicated_resource,measured_resource,total_resource,probable_reserve,proven_reserve,total_reserve,units,year_measured
,115.573617,-2.398304,Batubara,Rendah (< 5100),Swasta,Balangan,Kalimantan Selatan,Batubara Piyait,0,2.9,13.3,42,58.2,1.97,19.8,21.77,Juta Ton,2022
,116.214322,-2.930915,Batubara,Rendah (< 5100),Swasta,Kotabaru,Kalimantan Selatan,Batubara Sembilang 2,0,0.600659,0.735693,1.348134,2.684486,1.3277,0.85,2.1777,Juta Ton,2022
,115.583027,-2.352217,Batubara,Rendah (< 5100),Swasta,Balangan,Kalimantan Selatan,Batubara Hamarung,0,0.99,7.02,56.54,64.55,1.75,35.14,36.89,Juta Ton,2022
,117.954241,2.251695,Batubara,Rendah (< 5100),Swasta,Berau,Kalimantan Timur,Batubara Teluk Semanting,0,152.935,61.271,40.64,254.846,61.271,22.435,83.706,Juta Ton,2022
,117.350714,-0.505145,Batubara,Rendah (< 5100),Swasta,Kutai Kartanegara,Kalimantan Timur,Batubara Anggana 1,0,35.199,31.679,20.224,87.102,14.782,0.863,15.645,Juta Ton,2022
,117.194329,-0.65829,Batubara,Rendah (< 5100),Swasta,Kota Samarinda,Kalimantan Timur,Batubara Bantuas,0,0.628,6.643,0,7.271,1.95,0,1.95,Juta Ton,2022
,116.1698,0.549093,Batubara,Rendah (< 5100),Swasta,Kutai Kartanegara,Kalimantan Timur,Batubara Muara Ritan 1,0,3.54,164.08,98.93,266.55,154.436,86.51,240.946,Juta Ton,2022
,117.112822,-0.694298,Batubara,Rendah (< 5100),Swasta,Kutai Kartanegara,Kalimantan Timur,Batubara Dondang 1,0,47.9,48.4,59.502,155.802,20.8,34.002,54.802,Juta Ton,2022
,117.286895,-0.235478,Batubara,Rendah (< 5100),Swasta,Kutai Kartanegara,Kalimantan Timur,Batubara Muara Badak Ilir 1,0,241.919,135.799,46.833,424.551,121.761,21.37,143.131,Juta Ton,2022
,115.585787,-0.043073,Batubara,Rendah (< 5100),Swasta,Kutai Barat,Kalimantan Timur,Batubara Linggang Mapan,0,7.2,5.8,14.2,27.2,2.9,9.352,12.252,Juta Ton,2022
,117.013814,-1.025336,Batubara,Rendah (< 5100),Swasta,Kutai Kartanegara,Kalimantan Timur,Batubara Ambarawang Laut,0,0.305,0.289,0.156,0.75,0.192,0.188,0.38,Juta Ton,2022
,116.054563,-2.119988,Batubara,Rendah (< 5100),Swasta,Paser,Kalimantan Timur,Batubara Petangis 1,0,0.759,1.085,0.232,2.076,1.032,0.225,1.257,Juta Ton,2022
,116.766094,0.953109,Batubara,Rendah (< 5100),Swasta,Kutai Timur,Kalimantan Timur,Batubara Marah Haloq 1,0,60.49,30.644,22.923,114.057,0,0,0,Juta Ton,2022
